,District,Price,latitude,longitude
0,South Dorchester,360900,42.289714,-71.058369
1,Roxbury,353300,42.313772,-71.085623
2,East Boston,301500,42.372762,-71.015504
3,Jamaica Plain,451700,42.309854,-71.117098
4,Brighton,324300,42.348503,-71.155063
5,Mattapan,305500,42.280622,-71.088579
6,South Boston,485400,42.338272,-71.037215
7,Hyde Park,330200,42.25335,-71.121835
8,Roslindale,394800,42.2778,-71.121799
9,West Roxbury,460400,42.278343,-71.159316
10,South End,644800,42.339457,-71.073369
11,Dorchester,347200,42.318295,-71.052347
12,Allston,344400,42.359903,-71.127085
13,Fenway,383300,42.341237,-71.096193
14,Back Bay,765100,42.3492,-71.077257
15,Charlestown,577000,42.38204,-71.064131
16,Kenmore,401200,42.346004,-71.101731
17,Mission Hill,398300,42.333347,-71.1015
18,North End,604800,42.364649,-71.054076
19,Beacon Hill,645100,42.35837,-71.067219
20,Chinatown,830900,42.350936,-71.061934
21,Downtown,828100,42.353186,-71.054584
